status,title,mal_score,mal_ranking,num_chap,mal_popularity,num_vol,authors,mal_url
Finished,Maou na Ore to Ghoul no Yubiwa,6.93,9947,19,1233,3,"Yaya,Hinata|Kankitsu,Yusura",https://myanimelist.net/manga/50515/Maou_na_Ore_to_Ghoul_no_Yubiwa
Publishing,Bastard!!: Ankoku no Hakaishin,7.37,4812,Unknown,1255,Unknown,"Hagiwara,Kazushi",https://myanimelist.net/manga/611/Bastard__Ankoku_no_Hakaishin
Finished,Kimi-iro Focus,7.15,7451,40,1235,10,"Chiaki,Tarou",https://myanimelist.net/manga/20553/Kimi-iro_Focus
Publishing,Nagasarete Airantou,7.66,2363,Unknown,1207,Unknown,"Fujishiro,Takeshi",https://myanimelist.net/manga/1086/Nagasarete_Airantou
Publishing,Kono Subarashii Sekai ni Shukufuku wo!,7.79,1694,Unknown,1232,Unknown,"Watari,Masahito|Akatsuki,Natsume",https://myanimelist.net/manga/80385/Kono_Subarashii_Sekai_ni_Shukufuku_wo
Finished,Aizawa-san Zoushoku,7.28,5937,39,1225,5,"Shiki,Seiichi",https://myanimelist.net/manga/63579/Aizawa-san_Zoushoku
Publishing,Date A Live,8.26,417,Unknown,1202,Unknown,"Tachibana,Koushi|Tsunako",https://myanimelist.net/manga/37523/Date_A_Live
Publishing,Gakunen Top no Ojousama ga 1-nen de Hensachi wo 40 Sagete Gal ni Natteita Hanashi,9.00,25791,Unknown,29864,Unknown,"Asano,Hajime|Shimesaba,Kohada",https://myanimelist.net/manga/94283/Gakunen_Top_no_Ojousama_ga_1-nen_de_Hensachi_wo_40_Sagete_Gal_ni_Natteita_Hanashi
Finished,Jokyoushi Jigoku-hen,5.67,N/A,11,29628,1,"Chiba,Tetsutarou",https://myanimelist.net/manga/87667/Jokyoushi_Jigoku-hen
Finished,Kono Uchi ni Yuusha-sama Moshiku wa Kyuuseishu-sama wa Irasshaimasenka?!,8.67,20108,Unknown,29566,4,"Kawaguchi,Tsukasa|Suzukiya16,Gouten",https://myanimelist.net/manga/55801/Kono_Uchi_ni_Yuusha-sama_Moshiku_wa_Kyuuseishu-sama_wa_Irasshaimasenka
Finished,Bedroom ni Meshiagare,10.00,20371,Unknown,29787,2,"Shugasuku|Suzuki,Suzu",https://myanimelist.net/manga/57971/Bedroom_ni_Meshiagare
Finished,Taimadou Gakuen 35 Shiken Shoutai,6.81,11092,16,3020,3,"Hanao,Sutarou|Yanagimi,Touki",https://myanimelist.net/manga/48635/Taimadou_Gakuen_35_Shiken_Shoutai
Finished,Sakura Familia!,7.75,19936,Unknown,29395,3,"Sugii,Hikaru|Yudesoba",https://myanimelist.net/manga/52313/Sakura_Familia
Finished,"Hashire, Ute!",3.00,24350,12,29631,2,"Kamino,Okina|Kamizuki,Shiki",https://myanimelist.net/manga/89095/Hashire_Ute
Finished,Warui Koto Shitai,9.33,N/A,Unknown,39303,1,"13cm|Tachibana,Uzuki|ABU",https://myanimelist.net/manga/97596/Warui_Koto_Shitai
