status,Police,Space,mal_score,authors,Vampire,Demons,Sports,Romance,Music,Comedy,Yuri,SuperPower,SliceofLife,Harem,Josei,Fantasy,Cars,Horror,Shoujo,num_chap,Game,Adventure,ShoujoAi,GenderBender,Thriller,SciFi,Mystery,School,Kids,Magic,ShounenAi,Yaoi,genres,Drama,Samurai,mal_popularity,Historical,MartialArts,Action,Military,Parody,Seinen,Hentai,mal_ranking,title,mal_url,Shounen,Psychological,Mecha,synopsis,num_vol,Supernatural,Dementia,Ecchi,Doujinshi
Finished,0,0,6.94,"Akizuki,Ichiha",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,"Romance, Harem, Josei",0,0,18467,0,0,0,0,0,0,0,9843,Arcana - Renai / Gyakuharem,https://myanimelist.net/manga/24483/Arcana_-_Renai___Gyakuharem,0,0,0," The Zero-Sum Original Anthology Series features themed oneshots from various mangaka that publish in Ichijinsha's Zero-Sum and Ward magazines. Volume 13 theme: Love and Reverse Harems.  1. The Wicked Are Worriers by Futaba Hazuki 2. Sesame Seeds and Soy Beans by D Kissan 3. Forced Love by Mikawa Beruno 4. Room 204, Higan Manor by Hasumi Natsumi 5. From the Distant East by Someya Kaiko 6. Beside the Reverse Harem by Mizuhara Kenta 7. Fiancé and Thief by Kosugi Mayu 8. Irresistible Girl by Igarashi Ran 9. Princes by Kari Erika 10. Cherry Blossom Love Affair by Fujiwara Yuu 11. Wild Kingdom by Saeki Yashirou 12. Lesson by Kyou 13. Devil's Bride by Mr. Megane 14. Won't You Be My Everything ? by Shindou Arashi 15. Possessed by Serikawa Mame 16. L'Égoïsme de la princesse by Akizuki Ichiha",1,0,0,0,0
Finished,0,0,7.22,"Chiba,Toshirou",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,"Hentai, Harem",0,0,14844,0,0,0,0,0,0,1,N/A,Animal Assort,https://myanimelist.net/manga/74233/Animal_Assort,0,0,0," Two Sweet (1-2), How to Play",1,0,0,0,0
Finished,0,0,7.37,"Dokuta,Pepako|I*Chi*Ka",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,11,0,0,0,0,0,1,0,1,0,0,0,0,"Comedy, Drama, Fantasy, Romance, School, SciFi, Shounen, Harem",1,0,4309,0,0,0,0,0,0,0,4883,Ano Natsu de Matteru,https://myanimelist.net/manga/35713/Ano_Natsu_de_Matteru,1,0,0," When a group of friends decide to make a movie over a long summer holiday, they end up learning a little about filmmaking and a lot more about each other and themselves. What begins as a simple way to avoid the summer doldrums quickly turns into something much more complex, intimate and revealing, as the maturing relationships between the members of the young cast take on new, and sometimes very unexpected, turns.  (Source: Sentai Filmworks)",3,0,0,0,0
Finished,0,0,6.89,Shiwasu no Okina,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Hentai, Parody, Harem",0,0,17632,0,0,0,0,1,0,1,N/A,"""Musume."" no Iru Fuuzoku Building",https://myanimelist.net/manga/89778/Musume_no_Iru_Fuuzoku_Building,0,0,0," 1. Fuck-kan CM 2-4, 8 ""Musume."" no Iru Fuuzoku Building 5-7. Haru yo Koi",1,0,0,0,0
Finished,0,0,7.33,"Shimizu,Toshimitsu",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,"Action, Comedy, Romance, Shounen, Harem",0,0,21630,0,0,1,0,0,0,0,17378,Aozora Shoujotai,https://myanimelist.net/manga/20392/Aozora_Shoujotai,1,0,0," Isurugi Takuya has just been assigned a post as ground staff and maintenance for a very neglected air squadron. He's surprised to learn that it was meant to be an all-women aerial acrobatic team! Unfortunately, none of the higher officers have ever really taken it seriously.  Isurugi and the hardworking Haneda Miyuki are determined to rebuild the squadron, and face down opposition to the idea of women as jet pilots! Soon they will add new pilots to their team; the exotic-looking, angry, half-japanese Mitaka Arisa, the gambler Saginomiya Sakura, and the enthusiastic, immature Shimorenjaku Youko, who has a pet vampire bat. Will they be able to prove the value of their team to disbelieving military men?  (Source: MangaHelpers)",3,0,0,0,0
Finished,0,0,6.67,"Yuuji,Yuuji|Inase,Shinya",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,"Comedy, Ecchi, Romance, School, Harem, Seinen",0,0,3798,0,0,0,0,0,1,0,12320,Ore no Kanojo to Osananajimi ga Shuraba sugiru+H,https://myanimelist.net/manga/31605/Ore_no_Kanojo_to_Osananajimi_ga_Shuraba_sugiru_H,0,0,0," The story sets one month Eita and Masuzu start dating, and sets itself on a ""what if"" where the Harem element is stronger than in the original.  (Source: MU)",2,0,0,1,0
Finished,0,0,6.99,"Sawano,Akira",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Hentai, Romance, Harem",0,0,13628,0,0,0,0,0,0,1,N/A,Ani+Imouto=Love?,https://myanimelist.net/manga/39489/Ani_Imouto_Love,0,0,0," 1. Trouble Twins 2-5, 7. Asagi no Hibi (Asagi Days) 6. Nanako no Hibi (Nanako Days) 8. Violence Romance 9-10. Hotaru Report",1,0,0,0,0
Finished,0,0,6.00,"Omishi,Rei|Yura,Kairi|Yoneyama,Setsuko|Akiyama,Tamayo|Tachibana,Kaimu|Nakagawa,Katsumi|Funato,Akari|Shimeno,Tsukasa|Fuyunagi,Reku|Mucchiri,Muunii",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,"Fantasy, Parody, Romance, Harem",0,0,23825,0,0,0,0,1,0,0,15677,Angelique: Treasure - Angelique Comic Anthology,https://myanimelist.net/manga/9803/Angelique__Treasure_-_Angelique_Comic_Anthology,0,0,0, Anthology of of the main series.,1,0,0,0,0
Finished,0,0,7.10,"Yura,Kairi",0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,59,0,0,0,0,0,0,0,0,0,0,0,0,"Fantasy, Romance, Shoujo, Harem",0,0,11317,0,0,0,0,0,0,0,8061,Angelique,https://myanimelist.net/manga/7852/Angelique,0,0,0," With the powers of the Queen of the Cosmos weakening, a new queen has to be chosen. With the help of nine guardians, the two queen candidates take the queen examination to become the next Queen of the Cosmos.",11,0,0,0,0
Finished,0,0,7.60,"Otsuka,Kotora",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,"Comedy, Hentai, Romance, SciFi, Harem",0,0,9302,0,0,0,0,0,0,1,N/A,Angraecum,https://myanimelist.net/manga/19913/Angraecum,0,0,0, 1. 2. 3. 4. 5. 6-10.,1,0,0,0,0
