status,Police,Space,mal_score,authors,Vampire,Demons,Sports,Romance,Music,Comedy,Yuri,SuperPower,SliceofLife,Harem,Josei,Fantasy,Cars,Horror,Shoujo,num_chap,Game,Adventure,ShoujoAi,GenderBender,Thriller,SciFi,Mystery,School,Kids,Magic,ShounenAi,Yaoi,genres,Drama,Samurai,mal_popularity,Historical,MartialArts,Action,Military,Parody,Seinen,Hentai,mal_ranking,title,mal_url,Shounen,Psychological,Mecha,synopsis,num_vol,Supernatural,Dementia,Ecchi,Doujinshi
Finished,0,0,7.15,"Chiaki,Tarou",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,40,0,0,0,0,0,0,0,1,0,0,0,0,", Comedy, Ecchi, Romance, School, Shounen, Harem",0,0,1235,0,0,0,0,0,0,0,7451,Kimi-iro Focus,https://myanimelist.net/manga/20553/Kimi-iro_Focus,1,0,0," Photography is the art to grasp beauty with the one and only tool, a camera. Oji's dream is to become a photographer that photographs at the front lines of war, to take pictures of historical events taking place in front of his eyes. However, his childhood friend, Sumire, doesn't think that he is capable of becoming one. In his photography club, Oji shows his photos to the group, and his upperclassman, Ran, points out that Sumire is a good target to photograph. Oji manages to get permission to take photos of Sumire, and during his shoot, Sumire notices that Oji is acting differently than before. Later they find out that one of Oji's pictures won an award! Sumire congratulates him, but Oji sees beyond his award. He claims that he learned that he has much more potential than he thinks. Ran, overseeing this, plans to take Oji to the next level so he can capture true beauty through the lens of a camera!  (Source: MangaHelpers)",10,0,0,1,0
Publishing,0,0,7.37,"Hagiwara,Kazushi",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Unknown,0,1,0,0,0,0,0,0,0,0,0,0,", Action, Adventure, Ecchi, Fantasy, Harem, Supernatural, Seinen",0,0,1255,0,0,1,0,0,1,0,4812,Bastard!!: Ankoku no Hakaishin,https://myanimelist.net/manga/611/Bastard__Ankoku_no_Hakaishin,0,0,0," In a post apocalyptic world of heavy metal fantasy, the only thing able to save humans from orcs, lizard men, and other monsters is something even MORE evil. Sealed within a 14-year-old boy, the chaotic wizard Dark Schneider is unleashed to fight four mighty generals and their plot to resurrect the evil god Anslasax!  (Source: VIZ Media)   Volume 1: Wizard!!: Bakuen no Seifukusha (pilot) Volume 22: Binetsu Rouge Volume 26: Virgin Tyrant",Unknown,1,0,1,0
Publishing,0,0,7.66,"Fujishiro,Takeshi",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,Unknown,0,1,0,0,0,1,0,0,0,0,0,0,", Adventure, Comedy, Ecchi, Fantasy, Romance, SciFi, Shounen, Harem, Supernatural",0,0,1207,0,0,0,0,0,0,0,2363,Nagasarete Airantou,https://myanimelist.net/manga/1086/Nagasarete_Airantou,1,0,0," Ikuto Touhouin is a 14-year-old boy, who had a fight with his father and ran away from home. He later boards a ship overseas, but a huge storm hits and sinks the ship. After spending a week drifting in the ocean, he arrives in an island, with the only exception that all the people there act like people from the Meiji era, and that they are all actually females! The girls were unable to come into contact with other people, let alone males, as there were whirlpools surrounding the island, making it impossible to leave. Now that these love-starved women finally come into contact with a male, what will happen now?  (Source: ANN, edited)",Unknown,1,0,1,0
Finished,0,0,6.93,"Yaya,Hinata|Kankitsu,Yusura",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,", Action, Comedy, Ecchi, Fantasy, Romance, Harem, Supernatural",0,0,1233,0,0,1,0,0,0,0,9947,Maou na Ore to Ghoul no Yubiwa,https://myanimelist.net/manga/50515/Maou_na_Ore_to_Ghoul_no_Yubiwa,0,0,0," Kusumi Chiharu gets a message one day that he has been selected as a Monster Tamer, and he is prompted to select his first partner. He thinks little of the message until he receives a giant package the following day. He assumes it's the porn books he ordered, but the huge box ends up containing the unconscious body of a mostly naked girl! She's a ghoul named Zonmi, who intends to fight with him as his partner. However, it turns out that other hot girls at his mostly-male high school are also magical creatures, and Zonmi may not be the only one who wants to fight by his side!  (Source: MangaHelpers)",3,1,0,1,0
Publishing,0,0,7.79,"Watari,Masahito|Akatsuki,Natsume",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,Unknown,0,1,0,0,0,0,0,0,0,0,0,0,", Adventure, Comedy, Fantasy, Romance, Shounen, Harem, Supernatural",0,0,1232,0,0,0,0,0,0,0,1694,Kono Subarashii Sekai ni Shukufuku wo!,https://myanimelist.net/manga/80385/Kono_Subarashii_Sekai_ni_Shukufuku_wo,1,0,0," Kazuma Sato is a video game-loving shut-in-or at least he was, until a humiliating traffic accident brings his young life to an untimely end. But after his death, a beautiful girl claiming to be a goddess invites him to enter another world and gain some respectable perks in the process. But Kazuma's choice is going to have serious consequences for the goddess and the dead man alike...  (Source: Yen Press)",Unknown,1,0,0,0
Publishing,0,0,8.26,"Tachibana,Koushi|Tsunako",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Unknown,0,0,0,0,0,1,0,1,0,0,0,0,", Mecha, Romance, School, SciFi, Harem",0,0,1202,0,0,0,0,0,0,0,417,Date A Live,https://myanimelist.net/manga/37523/Date_A_Live,0,0,1," In the story, a boy named Itsuka Shidou meets a spirit girl who has been rejected by a devastated world. The girl, who Shidou names ""Tooka,"" happens to have wiped out much of humanity 30 years ago, and now she is back. The only way to stop her is to date her.",Unknown,0,0,0,0
Publishing,0,0,9.00,"Asano,Hajime|Shimesaba,Kohada",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,", Comedy, Ecchi, Romance, School, Harem",0,0,29864,0,0,0,0,0,0,0,25791,Gakunen Top no Ojousama ga 1-nen de Hensachi wo 40 Sagete Gal ni Natteita Hanashi,https://myanimelist.net/manga/94283/Gakunen_Top_no_Ojousama_ga_1-nen_de_Hensachi_wo_40_Sagete_Gal_ni_Natteita_Hanashi,0,0,0,,Unknown,0,0,1,0
Finished,0,0,7.75,"Sugii,Hikaru|Yudesoba",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,", Comedy, Fantasy, Romance, Harem",0,0,29395,0,0,0,0,0,0,0,19936,Sakura Familia!,https://myanimelist.net/manga/52313/Sakura_Familia,0,0,0,,3,0,0,0,0
Finished,0,0,10.00,Kanna|Utsusemi,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,", Ecchi, Romance, School, Harem, Supernatural",0,0,29792,0,0,0,0,0,0,0,20795,"Incubus ni Natta node, Imasugu Onnanoko to Ecchi shinai to Dame Mitai.",https://myanimelist.net/manga/61809/Incubus_ni_Natta_node_Imasugu_Onnanoko_to_Ecchi_shinai_to_Dame_Mitai,0,0,0,,1,1,0,1,0
Publishing,0,0,N/A,"Isaka,Juugorou",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,", Shoujo, Harem",0,0,29339,0,0,0,0,0,0,0,16695,Minamiguchi Inari Shoutengai,https://myanimelist.net/manga/16747/Minamiguchi_Inari_Shoutengai,0,0,0,,Unknown,0,0,0,0
