status,Historical,Sports,Romance,Supernatural,Scifi,Comedy,Yuri,Yaoi,SliceofLife,Harem,Josei,Fantasy,Horror,Smut,num_chap,Shoujo,Lolicon,ShoujoAi,Ecchi,Tragedy,Adult,Mystery,ShounenAi,Shotacon,genres,Drama,Mature,MartialArts,Action,Seinen,GenderBender,Adventure,title,Shounen,Psychological,Mecha,synopsis,num_vol,baka_url,SchoolLife,Hentai,Doujinshi
Complete,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0,0,0,"Harem, Romance, SchoolLife, Shoujo",0,0,0,0,0,0,0,Akarui Kazoku Keikaku,0,0,0,"A cute story about Honoka and the guys she has to live with (a pair of twins in kindergarten, a junior high student, a high school student, a college student) as well as the other guys she meets in school. Honoka is generally a sweet, naive girl which draws an assortment of guys who instinctively want to protect her and maybe become her boyfriend... ^^;",10,http://www.mangaupdates.com/series.html?id=2617,1,0,0
Complete,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,"Comedy, Drama, Harem, Romance, SchoolLife, Shounen",1,0,0,0,0,0,0,Akaneiro ni Somaru Saka,1,0,0,Manga,2,http://www.mangaupdates.com/series.html?id=33452,1,0,0
Complete,0,0,1,1,0,1,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,"Comedy, Harem, Romance, SchoolLife, Shounen, Supernatural",0,0,0,0,0,0,0,Aizawa-san Zoushoku,1,0,0,Manga,5,http://www.mangaupdates.com/series.html?id=106127,1,0,0
Complete,0,1,1,0,0,1,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0,0,0,"Comedy, Harem, Romance, SchoolLife, Shoujo, Sports",0,0,0,0,0,0,0,Gokuraku Doumei,0,0,0,Manga,4,http://www.mangaupdates.com/series.html?id=5629,1,0,0
Complete,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,"Adult, Harem, Hentai, SchoolLife",0,0,0,0,0,0,0,Aibuka! (Kari),0,0,0,"A club is on the verge of shutting down, so what will the club president do to save his club? Of course, create an idol!",1,http://www.mangaupdates.com/series.html?id=102895,1,1,0
Complete,0,0,1,0,0,1,0,0,1,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,"Comedy, Drama, Ecchi, Harem, Romance, Seinen, SliceofLife",1,0,0,0,1,0,0,Ai yori Aoshi,0,0,0,Manga,17,http://www.mangaupdates.com/series.html?id=3960,0,0,0
Complete,0,0,1,0,0,0,0,0,0,1,0,0,0,1,,1,0,0,0,0,0,0,0,0,"Drama, Harem, Romance, Shoujo, Smut",1,0,0,0,0,0,0,Ai Yuugi,0,0,0,Contains 3 oneshots:,1,http://www.mangaupdates.com/series.html?id=15905,0,0,0
Complete,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0,0,0,"Comedy, Harem, Shoujo",0,0,0,0,0,0,0,Bookstore Ikemen,0,0,0,Manga,1,http://www.mangaupdates.com/series.html?id=13531,0,0,0
Complete,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,"Adult, Harem, Hentai",0,0,0,0,0,0,0,Banana Milk Shake e Youkoso,0,0,0,Manga,1,http://www.mangaupdates.com/series.html?id=60224,0,1,0
Complete,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,"Action, Comedy, Drama, Ecchi, Harem, Mature, Seinen",1,1,0,1,1,0,0,Aiki,0,0,0,Manga,14,http://www.mangaupdates.com/series.html?id=1802,0,0,0
Complete,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,"Adult, Harem, Hentai",0,0,0,0,0,0,0,Bakunyuu Kaseifu Ayame-san,0,0,0,Manga,1,http://www.mangaupdates.com/series.html?id=97254,0,1,0
Complete,0,1,1,0,1,1,0,0,0,1,0,1,0,0,,0,0,0,1,0,0,0,0,0,"Action, Comedy, Drama, Ecchi, Fantasy, Harem, Romance, SchoolLife, Scifi, Shounen, Sports",1,0,0,1,0,0,0,Air Gear,1,0,0,Note: Won the 2006 Kodansha Manga Award in the shōnen category. A new edition named,37,http://www.mangaupdates.com/series.html?id=491,1,0,0
Ongoing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,1,"Adult, Harem, Hentai, Shotacon",0,0,0,0,0,0,0,El toiu Shoujo no Monogatari,0,0,0,Manga,6,http://www.mangaupdates.com/series.html?id=130048,0,1,0
Complete,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,"Adult, Harem, Hentai",0,0,0,0,0,0,0,Gokuraku Ladies,0,0,0,Vol.1 - 極楽レディース 禁断編 (Kindanhen),9,http://www.mangaupdates.com/series.html?id=25868,0,1,0
Complete,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,"Comedy, Ecchi, Harem, Mature, Romance, SchoolLife, Shounen",0,1,0,0,0,0,0,Eiken,1,0,0,Manga,18,http://www.mangaupdates.com/series.html?id=4703,1,0,0
Complete,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,"Comedy, Drama, Ecchi, Harem, SchoolLife, Shounen",1,0,0,0,0,0,0,Hammer Session! in High School,1,0,0,Manga,3,http://www.mangaupdates.com/series.html?id=54137,1,0,0
Complete,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,"Comedy, Ecchi, Harem, Mature, Romance, Shounen",0,1,0,0,0,0,0,Hamidoru!,1,0,0,Manga,5,http://www.mangaupdates.com/series.html?id=51698,0,0,0
Complete,0,0,1,1,0,1,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,"Comedy, Drama, Harem, Romance, SchoolLife, Shounen, Supernatural",1,0,0,0,0,0,0,Kannagi,1,0,0,Manga,12,http://www.mangaupdates.com/series.html?id=3217,1,0,0
Complete,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,"Adult, Harem, Seinen",0,0,0,0,1,0,0,Kangei! Miboujin Yokochou,0,0,0,Manga,1,http://www.mangaupdates.com/series.html?id=36602,0,0,0
Complete,0,0,0,1,0,1,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,"Adult, Comedy, Harem, SchoolLife, Seinen, Supernatural, Yuri",0,0,0,0,1,0,0,Kaminomi,0,0,0,"Chris, an angel, has been given the task of finding 12 individuals worthy of this power, giving the fruit to them, and using them as the weapon they need to fight against the demons. But things go terribly wrong and Kamishirosawa Kaya, a regular teenage girl, ends up consuming all 12 of them, giving her 12 times the power of God and, at the same time, making her the one and only hope for the heavens.",3,http://www.mangaupdates.com/series.html?id=52686,1,0,0
Complete,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,"Adult, Harem, Hentai",0,0,0,0,0,0,0,Kan,0,0,0,1. The Mother (Kan is Commit Adultery),1,http://www.mangaupdates.com/series.html?id=23645,0,1,0
Complete,0,0,1,1,0,1,0,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,"Action, Comedy, Ecchi, Harem, Romance, SchoolLife, Shounen, Supernatural",0,0,0,1,0,0,0,Kamigoroshihime Zilch,1,0,0,"One day, however, Haruomi encounters an ""Eda"", a girl with glowing red eyes and demonic powers. Amidst her escape from the ""Seven Great Gospel Organizations"", she reveals that he too is an Eda, and the powerlessness he feels is completely unfounded. Before he knows it, Io Haruomi is thrown into the middle of a battle between man and devil.",5,http://www.mangaupdates.com/series.html?id=114671,1,0,0
Complete,0,0,1,0,0,0,0,0,0,1,0,0,0,1,,1,0,0,0,0,0,0,0,0,"Harem, Romance, Shoujo, Smut",0,0,0,0,0,0,0,Kanjiru Special Order,0,0,0,:,1,http://www.mangaupdates.com/series.html?id=11733,0,0,0
Complete,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,"Comedy, Ecchi, Harem, Mature, Romance, SchoolLife, Seinen",0,1,0,0,1,0,0,Kangoku Gakuen,0,0,0,Note: Was one of two winners of the Best General Manga award alongside,28,http://www.mangaupdates.com/series.html?id=63043,1,0,0
Complete,0,0,1,1,0,1,0,0,0,1,0,1,0,0,,1,0,0,0,0,0,0,0,0,"Adventure, Comedy, Drama, Fantasy, Harem, Romance, Shoujo, Supernatural",1,0,0,0,0,0,1,Kamikami Kaeshi,0,0,0,Manga,8,http://www.mangaupdates.com/series.html?id=58466,0,0,0
Complete,0,0,1,1,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0,0,0,"Harem, Romance, Shoujo, Supernatural",0,0,0,0,0,0,0,Kamigami no Asobi Comic Anthology,0,0,0,Manga,1,http://www.mangaupdates.com/series.html?id=136920,0,0,0
Complete,0,0,1,1,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0,0,0,"Harem, Romance, Shoujo, Supernatural",0,0,0,0,0,0,0,Kamigami no Asobi Anthology,0,0,0,Manga,1,http://www.mangaupdates.com/series.html?id=136921,0,0,0
