status,Historical,Sports,Romance,Supernatural,Scifi,Comedy,Yuri,Yaoi,SliceofLife,Harem,Josei,Fantasy,Horror,Smut,Shoujo,Lolicon,ShoujoAi,Ecchi,Tragedy,Adult,Mystery,ShounenAi,Shotacon,genres,Drama,Mature,MartialArts,Action,Seinen,GenderBender,Adventure,title,Shounen,Psychological,Mecha,synopsis,num_vol,baka_url,SchoolLife,Hentai,Doujinshi
Complete,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Harem, Yaoi",0,0,0,0,0,0,0,Chou yo Hana yo (WATANABE Asia),0,0,0,From,1,http://www.mangaupdates.com/series.html?id=17413,0,0,0
Complete,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Adult, Harem, Hentai",0,0,0,0,0,0,0,Chou Onee-san Tengoku,0,0,0,From,7,http://www.mangaupdates.com/series.html?id=57649,0,1,0
Complete,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Action, Comedy, Drama, Ecchi, Harem, Mecha, Romance, Scifi, Shounen",1,0,0,1,0,0,0,Chojuu Kishin Dancouga Burn,1,0,1,Group of soldiers fighting against aliens after the conquest of the planet Earth.,2,http://www.mangaupdates.com/series.html?id=30848,0,0,0
Complete,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Adult, Comedy, GenderBender, Harem, Seinen",0,0,0,0,1,1,0,Boku no Megami-sama,0,0,0,N/A,1,http://www.mangaupdates.com/series.html?id=116805,0,0,0
Complete,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action, Comedy, Harem, Romance, Shounen",0,0,0,1,0,0,0,Aozora Shoujotai,1,0,0,"Isurugi Takuya has just been assigned a post as ground staff and maintenance for a very neglected air squadron. He's surprised to learn that it was meant to be an all-women aerial acrobatic team! Unfortunately, none of the higher officers have ever really taken it seriously.",3,http://www.mangaupdates.com/series.html?id=4705,0,0,0
Complete,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Action, Comedy, Ecchi, Harem, Romance, Shounen, Supernatural",0,0,0,1,0,0,0,Chou Dokyuu Shoujo 4946,1,0,0,"With his phrase ""don't you dare make girls cry,"" Makoto Tobita has failed his 30th confession, but that won't stop him. Promising to do anything for the girl who smiles at him, no matter what it is, what will happen now when the alien fighting - giant girl, Mana Eimiya, is in love with him?",6,http://www.mangaupdates.com/series.html?id=42464,0,0,0
Complete,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Action, Adult, Drama, Harem, Seinen, Supernatural, Yuri",1,0,0,1,1,0,0,God Finger Jin,0,0,0,N/A,1,http://www.mangaupdates.com/series.html?id=103680,0,0,0
Complete,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Comedy, Ecchi, Harem, Romance, Scifi, Seinen",0,0,0,0,1,0,0,Boku no Marie,0,0,0,From MangaProject:,10,http://www.mangaupdates.com/series.html?id=658,0,0,0
Complete,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"Comedy, Harem, Romance, SchoolLife, Shoujo, Sports",0,0,0,0,0,0,0,Gokuraku Doumei,0,0,0,"With her father having disappeared and her mother lying in a coma at the hospital, Homare inherits the responsibilities of the family hot springs inn. But where did all these guys come from to help out? And what will happen to the firm rule of no love?!",4,http://www.mangaupdates.com/series.html?id=5629,1,0,0
Complete,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Ecchi, Harem, Romance, SchoolLife, Shounen, Supernatural",0,0,0,0,0,0,0,Imouto Loveru,1,0,0,"What would you wish for if you could make a single wish? Sakura Yamato, an anti-social genius, knows his ideal wish. When at home, as he lives alone, he spends most of his time with his little sister collection, fawning over anything little sister related. Other than them, his only other conversation companion is a stuffed rabbit memento of his long dead older sister. But one day, the rabbit starts speaking out of nowhere, and claims its feeling for Yamato won't lose to anyone else. After transforming into a woman with rabbit ears, she states she is his sister, coming from Heaven to give him a single wish from God.",2,http://www.mangaupdates.com/series.html?id=88845,1,0,0
Complete,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Adult, Harem, Hentai",0,0,0,0,0,0,0,Imouto Haramikeshon,0,0,0,Original Doujinshi by Qoopie.,2,http://www.mangaupdates.com/series.html?id=53028,0,1,0
Complete,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Adult, Harem, Hentai",0,0,0,0,0,0,0,Ikinari! Harem Life,0,0,0,1-6. Regrettable Heroines,1,http://www.mangaupdates.com/series.html?id=112876,0,1,0
